"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"FBLN1","OK","negbinomial.size",5.71335490579341e-11,1.68550113113277e-09,"FBLN1",1042
"HSPA9","OK","negbinomial.size",5.98423444982092e-11,1.76162506829707e-09,"HSPA9",626
"TYMP","OK","negbinomial.size",6.26979609395027e-11,1.84173582048843e-09,"TYMP",867
"ADCY3","OK","negbinomial.size",6.78900017985084e-11,1.98998941169218e-09,"ADCY3",521
"TSTD1","OK","negbinomial.size",7.20203780135591e-11,2.10655766650321e-09,"TSTD1",231
"MT-ND6","OK","negbinomial.size",7.48472972350146e-11,2.18458558185092e-09,"MT-ND6",496
"TXNIP","OK","negbinomial.size",7.73199052503883e-11,2.25196276056227e-09,"TXNIP",1062
"KLK4","OK","negbinomial.size",7.97939013298743e-11,2.31909478483732e-09,"KLK4",38
"PFKP","OK","negbinomial.size",9.87352346374544e-11,2.86353054705412e-09,"PFKP",109
"PIGR","OK","negbinomial.size",1.01697169585565e-10,2.94321049024216e-09,"PIGR",108
"METRN","OK","negbinomial.size",1.03145020514468e-10,2.97882819245785e-09,"METRN",689
"HNRNPDL","OK","negbinomial.size",1.03524787939768e-10,2.98351479192801e-09,"HNRNPDL",931
"IARS1","OK","negbinomial.size",1.07426450539579e-10,3.08946760692231e-09,"IARS1",338
"SLC16A7","OK","negbinomial.size",1.19172265248293e-10,3.42009442400855e-09,"SLC16A7",218
"PLAT","OK","negbinomial.size",1.27848183043649e-10,3.6614224947657e-09,"PLAT",460
"EGR2","OK","negbinomial.size",1.36001443349527e-10,3.88680791639336e-09,"EGR2",94
"SRSF3","OK","negbinomial.size",1.46722276172365e-10,4.18448271212578e-09,"SRSF3",979
"IGFBP4","OK","negbinomial.size",1.56533775214064e-10,4.45504217507579e-09,"IGFBP4",1125
"LMNA","OK","negbinomial.size",1.58473701500902e-10,4.50091560494695e-09,"LMNA",1054
"PDZK1IP1","OK","negbinomial.size",1.67050933513163e-10,4.73472046680488e-09,"PDZK1IP1",69
"ZEB1","OK","negbinomial.size",1.69428852046702e-10,4.79221647912712e-09,"ZEB1",776
"KIF26B","OK","negbinomial.size",1.96137900221601e-10,5.53625455810684e-09,"KIF26B",181
"ALDH1B1","OK","negbinomial.size",1.99443478759051e-10,5.61799926409993e-09,"ALDH1B1",76
"SLC25A5","OK","negbinomial.size",2.0215706666176e-10,5.682767705873e-09,"SLC25A5",859
"PDGFC","OK","negbinomial.size",2.16471769380644e-10,6.07271928908727e-09,"PDGFC",353
"FREM1","OK","negbinomial.size",2.545998599265e-10,7.12775689484025e-09,"FREM1",128
"CTSS","OK","negbinomial.size",2.82163369604806e-10,7.8833342245188e-09,"CTSS",342
"APOC1","OK","negbinomial.size",3.22283832259324e-10,8.9859544937671e-09,"APOC1",210
"MZB1","OK","negbinomial.size",3.2972518958387e-10,9.17478732395848e-09,"MZB1",48
"CALM2","OK","negbinomial.size",3.65596080488056e-10,1.01523219273991e-08,"CALM2",1106
"IMPA2","OK","negbinomial.size",4.024641940526e-10,1.11535430586133e-08,"IMPA2",209
"S100A10","OK","negbinomial.size",4.07523885273348e-10,1.12709932624593e-08,"S100A10",962
"OLFML3","OK","negbinomial.size",4.11112718868029e-10,1.13473727916129e-08,"OLFML3",546
"GPR68","OK","negbinomial.size",4.16153231057558e-10,1.14634337824249e-08,"GPR68",32
"GAS6","OK","negbinomial.size",4.37632026263905e-10,1.20309341408582e-08,"GAS6",786
"HTRA3","OK","negbinomial.size",5.27993189179026e-10,1.44860211383158e-08,"HTRA3",351
"CRABP1","OK","negbinomial.size",5.52107242212348e-10,1.51173795382615e-08,"CRABP1",97
"IFNG","OK","negbinomial.size",5.61530650209963e-10,1.53447758158969e-08,"IFNG",34
"RPL24","OK","negbinomial.size",5.6619327875317e-10,1.54414302145845e-08,"RPL24",1180
"RCAN1","OK","negbinomial.size",5.74814412751668e-10,1.56454446708877e-08,"RCAN1",360
"SDF2L1","OK","negbinomial.size",5.94122769791196e-10,1.61389626851399e-08,"SDF2L1",461
"UQCRQ","OK","negbinomial.size",6.03386841414454e-10,1.63582227085444e-08,"UQCRQ",930
"CD58","OK","negbinomial.size",6.0602835739666e-10,1.6397429993624e-08,"CD58",127
"XRRA1","OK","negbinomial.size",6.14821472676964e-10,1.66026003192571e-08,"XRRA1",206
"TRPC4","OK","negbinomial.size",6.71006024014697e-10,1.80842055745258e-08,"TRPC4",214
"CD3D","OK","negbinomial.size",6.72891809845217e-10,1.80994702891308e-08,"CD3D",106
"CNN3","OK","negbinomial.size",7.0113390336656e-10,1.88222209126859e-08,"CNN3",984
"SLC38A5","OK","negbinomial.size",7.18483848425505e-10,1.92503152982443e-08,"SLC38A5",84
"CXCR4","OK","negbinomial.size",7.24630016959933e-10,1.93771434164841e-08,"CXCR4",152
"F13A1","OK","negbinomial.size",7.34085429191535e-10,1.95917975051546e-08,"F13A1",486
"CCDC47","OK","negbinomial.size",7.98456629174704e-10,2.12684039592594e-08,"CCDC47",611
"S100A4","OK","negbinomial.size",8.04129338219104e-10,2.13779966311815e-08,"S100A4",1052
"STAT2","OK","negbinomial.size",8.24587319465758e-10,2.18794755288806e-08,"STAT2",633
"GNG11","OK","negbinomial.size",8.29065366299332e-10,2.19558275963209e-08,"GNG11",851
"ADAMDEC1","OK","negbinomial.size",8.32408412406468e-10,2.20018855518149e-08,"ADAMDEC1",20
"TRIM59","OK","negbinomial.size",8.60903515870583e-10,2.27112969821397e-08,"TRIM59",38
"UBE2L6","OK","negbinomial.size",9.44547750460088e-10,2.48700691762217e-08,"UBE2L6",496
"C19orf33","OK","negbinomial.size",9.72440100277067e-10,2.55554277693502e-08,"C19orf33",83
"PYCR1","OK","negbinomial.size",9.87665775964442e-10,2.59059256494842e-08,"PYCR1",170
"EPHA3","OK","negbinomial.size",9.96522204536298e-10,2.6088342751582e-08,"EPHA3",156
"A2M","OK","negbinomial.size",1.00780443126797e-09,2.63334498821601e-08,"A2M",845
"FAM89A","OK","negbinomial.size",1.04837027450188e-09,2.73413373110584e-08,"FAM89A",444
"MXRA7","OK","negbinomial.size",1.08171501558531e-09,2.81574318478166e-08,"MXRA7",748
"HLA-DRB5","OK","negbinomial.size",1.1042632224143e-09,2.86899297065898e-08,"HLA-DRB5",26
"ITGB1BP1","OK","negbinomial.size",1.15653845976384e-09,2.99912941229497e-08,"ITGB1BP1",745
"CEBPB","OK","negbinomial.size",1.1760239179696e-09,3.04390492579378e-08,"CEBPB",947
"PSMB10","OK","negbinomial.size",1.19310564747188e-09,3.08230193446689e-08,"PSMB10",281
"RBM6","OK","negbinomial.size",1.20338910461529e-09,3.10302476261515e-08,"RBM6",539
"SDC2","OK","negbinomial.size",1.21618369749326e-09,3.13013282593105e-08,"SDC2",639
"NPR3","OK","negbinomial.size",1.31639594381713e-09,3.37691211245197e-08,"NPR3",42
"SERPINB9","OK","negbinomial.size",1.31699080052617e-09,3.37691211245197e-08,"SERPINB9",203
"FGD3","OK","negbinomial.size",1.34465424479754e-09,3.44141174069639e-08,"FGD3",33
"AGR2","OK","negbinomial.size",1.44380222738801e-09,3.68828285946159e-08,"AGR2",104
"SERPINE1","OK","negbinomial.size",1.4826980335078e-09,3.78060439101487e-08,"SERPINE1",265
"COL21A1","OK","negbinomial.size",1.49342963449242e-09,3.80090310314786e-08,"COL21A1",420
"PI3","OK","negbinomial.size",1.58315359824465e-09,4.02179649272594e-08,"PI3",129
"PSME1","OK","negbinomial.size",1.61783236477475e-09,4.10229655822182e-08,"PSME1",950
"HBA1","OK","negbinomial.size",1.63495363658818e-09,4.13806162116544e-08,"HBA1",13
"GOLM1","OK","negbinomial.size",1.66626958821811e-09,4.20955547167145e-08,"GOLM1",471
"HLA-DRB1","OK","negbinomial.size",1.70287066402918e-09,4.294113928153e-08,"HLA-DRB1",159
"TMEM45A","OK","negbinomial.size",2.08016764358118e-09,5.23591554764159e-08,"TMEM45A",405
"IGLV2-14","OK","negbinomial.size",2.09674932326949e-09,5.26798666970894e-08,"IGLV2-14",46
"STK4","OK","negbinomial.size",2.13100524620282e-09,5.34426507630902e-08,"STK4",424
"TNN","OK","negbinomial.size",2.2056674481797e-09,5.52141351352722e-08,"TNN",20
"MBNL1","OK","negbinomial.size",2.40992144646866e-09,6.02173085658599e-08,"MBNL1",889
"XAF1","OK","negbinomial.size",2.43820020855015e-09,6.08131462925289e-08,"XAF1",666
"RPLP2","OK","negbinomial.size",2.48644625291817e-09,6.19039377450662e-08,"RPLP2",1172
"C1QTNF1","OK","negbinomial.size",2.60570950223688e-09,6.47556575211694e-08,"C1QTNF1",430
"SLIT2","OK","negbinomial.size",2.6312481834429e-09,6.52720842323141e-08,"SLIT2",476
"GOLIM4","OK","negbinomial.size",2.64347821475577e-09,6.54571013538261e-08,"GOLIM4",661
"ARL15","OK","negbinomial.size",2.74485105479434e-09,6.7844804990394e-08,"ARL15",175
"SLC25A3","OK","negbinomial.size",2.79308313695022e-09,6.89127958141783e-08,"SLC25A3",1043
"ANTXR1","OK","negbinomial.size",2.81317106611573e-09,6.92838073338879e-08,"ANTXR1",856
"ID1","OK","negbinomial.size",3.18523584280165e-09,7.83065686228549e-08,"ID1",535
"CALML3","OK","negbinomial.size",3.20518271305271e-09,7.86559865074366e-08,"CALML3",119
"COX4I1","OK","negbinomial.size",3.33986002216462e-09,8.18146424715256e-08,"COX4I1",1052
"CH25H","OK","negbinomial.size",3.36716427987299e-09,8.23364698597107e-08,"CH25H",350
"ATP5F1D","OK","negbinomial.size",3.45593408212385e-09,8.43567682181049e-08,"ATP5F1D",1011
"ANPEP","OK","negbinomial.size",3.47013913801134e-09,8.45530527446528e-08,"ANPEP",429
"LRMP","OK","negbinomial.size",3.49628185275193e-09,8.50389972625018e-08,"LRMP",24
"TSHZ2","OK","negbinomial.size",3.50297817700084e-09,8.50510701453053e-08,"TSHZ2",357
"NES","OK","negbinomial.size",3.56630533863366e-09,8.64356477656829e-08,"NES",460
"TUBB4B","OK","negbinomial.size",3.59397666149675e-09,8.69526840254186e-08,"TUBB4B",786
"COL6A1","OK","negbinomial.size",3.74695884291054e-09,9.04943334631105e-08,"COL6A1",1125
"RNF19A","OK","negbinomial.size",3.86595653063264e-09,9.32042033167287e-08,"RNF19A",575
"HLA-DRA","OK","negbinomial.size",3.89169966263755e-09,9.3660238547477e-08,"HLA-DRA",262
"FAM13C","OK","negbinomial.size",3.97838852226931e-09,9.55788682110164e-08,"FAM13C",186
"ATG7","OK","negbinomial.size",4.08066690356241e-09,9.78646653550161e-08,"ATG7",151
"SAT2","OK","negbinomial.size",4.14805808004098e-09,9.93072613298466e-08,"SAT2",792
"DKK2","OK","negbinomial.size",4.16084124034345e-09,9.94397563328074e-08,"DKK2",38
"PDLIM2","OK","negbinomial.size",4.18863461524707e-09,9.99298950468858e-08,"PDLIM2",916
"CBX3","OK","negbinomial.size",4.2593291863093e-09,1.01323810535394e-07,"CBX3",847
"MT-ND4L","OK","negbinomial.size",4.26183399029906e-09,1.01323810535394e-07,"MT-ND4L",1068
"HHIP","OK","negbinomial.size",4.4274354848558e-09,1.05078823496975e-07,"HHIP",70
"ISYNA1","OK","negbinomial.size",4.55065735536069e-09,1.07816783421136e-07,"ISYNA1",313
"NFKBIZ","OK","negbinomial.size",4.5800281556588e-09,1.08325562481599e-07,"NFKBIZ",563
"FKBP5","OK","negbinomial.size",4.63735332601128e-09,1.0949262121553e-07,"FKBP5",486
"L1TD1","OK","negbinomial.size",4.87367112470984e-09,1.14874605650807e-07,"L1TD1",89
"IL24","OK","negbinomial.size",4.93450190990082e-09,1.16108914579793e-07,"IL24",26
"BTG1","OK","negbinomial.size",5.11111824265573e-09,1.20058767213615e-07,"BTG1",1065
"ABCF1","OK","negbinomial.size",5.35303561289697e-09,1.25526397500377e-07,"ABCF1",595
"XPO1","OK","negbinomial.size",5.48514977390991e-09,1.28404922523031e-07,"XPO1",550
"PALM2AKAP2","OK","negbinomial.size",5.51438155353503e-09,1.28869312012595e-07,"PALM2AKAP2",581
"RPS18","OK","negbinomial.size",5.52382848954046e-09,1.28870542890333e-07,"RPS18",1200
"MAF","OK","negbinomial.size",5.70415727762666e-09,1.3285166304666e-07,"MAF",585
"SYNE1","OK","negbinomial.size",5.89989559607696e-09,1.37177572520311e-07,"SYNE1",792
"TCP1","OK","negbinomial.size",6.20166407301328e-09,1.43949962358031e-07,"TCP1",670
"TAPBP","OK","negbinomial.size",6.32915343269792e-09,1.46661024982686e-07,"TAPBP",774
"SERPINB4","OK","negbinomial.size",6.35024915709355e-09,1.46901716588549e-07,"SERPINB4",137
"IER5","OK","negbinomial.size",6.66571595241807e-09,1.53939884571163e-07,"IER5",428
"COL27A1","OK","negbinomial.size",6.80332978229669e-09,1.56853912526968e-07,"COL27A1",501
"PSMB8","OK","negbinomial.size",6.92191044908066e-09,1.5932007976592e-07,"PSMB8",706
"NENF","OK","negbinomial.size",7.35544277743054e-09,1.69015015110205e-07,"NENF",948
"NID1","OK","negbinomial.size",7.63344047424175e-09,1.75015159317716e-07,"NID1",802
"PROK1","OK","negbinomial.size",7.6420819675836e-09,1.75015159317716e-07,"PROK1",114
"LMO4","OK","negbinomial.size",7.69572024073172e-09,1.75949817103929e-07,"LMO4",882
"TRNP1","OK","negbinomial.size",7.75494397758284e-09,1.77008854383497e-07,"TRNP1",173
"CCDC71L","OK","negbinomial.size",8.28972598051121e-09,1.88901098007729e-07,"CCDC71L",484
"LGALS7B","OK","negbinomial.size",8.36704775308347e-09,1.90346867457378e-07,"LGALS7B",94
"ACTA2","OK","negbinomial.size",8.85481709626498e-09,2.01109902196296e-07,"ACTA2",502
"FAM107B","OK","negbinomial.size",8.90484066220022e-09,2.01911742486054e-07,"FAM107B",342
"CCN5","OK","negbinomial.size",9.17383778375733e-09,2.07667832867299e-07,"CCN5",548
"GALNTL6","OK","negbinomial.size",9.39008092641062e-09,2.12212735005768e-07,"GALNTL6",80
"LTF","OK","negbinomial.size",9.69544790040755e-09,2.18753543252945e-07,"LTF",41
"TPM3","OK","negbinomial.size",9.71356638605284e-09,2.18802469103239e-07,"TPM3",753
"CPVL","OK","negbinomial.size",1.00118564404631e-08,2.25151879754546e-07,"CPVL",92
"SRSF7","OK","negbinomial.size",1.02069017471578e-08,2.29162484725877e-07,"SRSF7",940
"TSPYL2","OK","negbinomial.size",1.03796247009134e-08,2.32659626874396e-07,"TSPYL2",505
"STK17A","OK","negbinomial.size",1.04144127023257e-08,2.33058586379288e-07,"STK17A",331
"TNFAIP6","OK","negbinomial.size",1.11942863363238e-08,2.50102964106987e-07,"TNFAIP6",146
"ZNF704","OK","negbinomial.size",1.19647270102333e-08,2.66881504270536e-07,"ZNF704",434
"SYNM","OK","negbinomial.size",1.21014861565764e-08,2.69493810220642e-07,"SYNM",58
"PTHLH","OK","negbinomial.size",1.43479063749856e-08,3.19002560214023e-07,"PTHLH",91
"TNFRSF4","OK","negbinomial.size",1.48142027890748e-08,3.28836947994382e-07,"TNFRSF4",246
"MYADM","OK","negbinomial.size",1.52290159694113e-08,3.37498612388342e-07,"MYADM",706
"ARGLU1","OK","negbinomial.size",1.55693990952934e-08,3.4448551095038e-07,"ARGLU1",969
"IGLC7","OK","negbinomial.size",1.6010318784889e-08,3.53670777924488e-07,"IGLC7",38
"HNRNPK","OK","negbinomial.size",1.60369179003186e-08,3.53688809898024e-07,"HNRNPK",1000
"NKTR","OK","negbinomial.size",1.64439750222171e-08,3.62084188370424e-07,"NKTR",709
"ZFHX4","OK","negbinomial.size",1.68096873960372e-08,3.69543736696857e-07,"ZFHX4",190
"CHORDC1","OK","negbinomial.size",1.73126210934605e-08,3.79991257856146e-07,"CHORDC1",558
"EMP1","OK","negbinomial.size",1.83877562328549e-08,4.02944472847131e-07,"EMP1",646
"RABAC1","OK","negbinomial.size",2.04020076300928e-08,4.46371197240213e-07,"RABAC1",1070
"MEOX2","OK","negbinomial.size",2.07483056065104e-08,4.53224930430112e-07,"MEOX2",119
"LCP1","OK","negbinomial.size",2.12522429167005e-08,4.63494862211919e-07,"LCP1",144
"ALDH1A1","OK","negbinomial.size",2.21644592775972e-08,4.82622305349331e-07,"ALDH1A1",670
"NDUFA2","OK","negbinomial.size",2.24492644234444e-08,4.88049143202552e-07,"NDUFA2",778
"CKAP4","OK","negbinomial.size",2.33593498665822e-08,5.07030951692681e-07,"CKAP4",575
"CDH13","OK","negbinomial.size",2.34664802986828e-08,5.085516220179e-07,"CDH13",306
"PEMT","OK","negbinomial.size",2.41489956018967e-08,5.22517226603816e-07,"PEMT",517
"GLRX","OK","negbinomial.size",2.45240577769512e-08,5.29796889109003e-07,"GLRX",695
"ACTR3","OK","negbinomial.size",2.51692365515795e-08,5.42879853796491e-07,"ACTR3",714
"RASAL3","OK","negbinomial.size",2.67595240430539e-08,5.76274962044919e-07,"RASAL3",42
"SBSN","OK","negbinomial.size",2.74855193314381e-08,5.90981746377223e-07,"SBSN",102
"IGFBP3","OK","negbinomial.size",2.89112750669752e-08,6.20664900420603e-07,"IGFBP3",351
"TAP2","OK","negbinomial.size",3.09843653786927e-08,6.64130506663917e-07,"TAP2",259
"EIF3F","OK","negbinomial.size",3.20906675403846e-08,6.8677032343057e-07,"EIF3F",901
"ALKBH7","OK","negbinomial.size",3.34277071949228e-08,7.14269917912696e-07,"ALKBH7",819
"PER2","OK","negbinomial.size",3.58692634972118e-08,7.64059870581913e-07,"PER2",174
"RPL13","OK","negbinomial.size",3.58579153542229e-08,7.64059870581913e-07,"RPL13",1203
"SRD5A3","OK","negbinomial.size",3.59860860081135e-08,7.65359888153954e-07,"SRD5A3",224
"PMEPA1","OK","negbinomial.size",3.74775123209585e-08,7.95845996933294e-07,"PMEPA1",1036
"PARP9","OK","negbinomial.size",3.85318652428276e-08,8.16970830604496e-07,"PARP9",351
"KCNK2","OK","negbinomial.size",3.88906911605237e-08,8.23306329228495e-07,"KCNK2",71
"HSPB6","OK","negbinomial.size",3.92835904383424e-08,8.30342517154362e-07,"HSPB6",375
"COX6B1","OK","negbinomial.size",3.9423300200932e-08,8.32013587932901e-07,"COX6B1",999
"PLS3","OK","negbinomial.size",4.05951979832031e-08,8.5542999375358e-07,"PLS3",566
"ANGPT1","OK","negbinomial.size",4.15245873679521e-08,8.73672223180317e-07,"ANGPT1",207
"CST7","OK","negbinomial.size",4.21423348085128e-08,8.85311713481131e-07,"CST7",70
"CD27","OK","negbinomial.size",4.40017875668561e-08,9.22961042572066e-07,"CD27",54
"BCL11B","OK","negbinomial.size",4.68151271449662e-08,9.80473151411674e-07,"BCL11B",98
"SRPX2","OK","negbinomial.size",4.81533448190403e-08,1.00641115307311e-06,"SRPX2",466
"PDS5B","OK","negbinomial.size",4.82003300458544e-08,1.00641115307311e-06,"PDS5B",647
"NNMT","OK","negbinomial.size",4.8734694265487e-08,1.01602209108503e-06,"NNMT",904
"MMP14","OK","negbinomial.size",4.91665464990293e-08,1.02346993152304e-06,"MMP14",616
"CTSC","OK","negbinomial.size",4.93694219834571e-08,1.02588382612143e-06,"CTSC",799
"RGS10","OK","negbinomial.size",4.94320753073528e-08,1.02588382612143e-06,"RGS10",673
"ATM","OK","negbinomial.size",4.97450125143457e-08,1.03081885448911e-06,"ATM",560
"ATP5MD","OK","negbinomial.size",5.29827572228066e-08,1.09625560118018e-06,"ATP5MD",890
"G0S2","OK","negbinomial.size",5.55302018707509e-08,1.14723389949241e-06,"G0S2",349
"CD3G","OK","negbinomial.size",5.6091864239897e-08,1.15709502803445e-06,"CD3G",86
"LEPR","OK","negbinomial.size",5.69173388192916e-08,1.17236044132589e-06,"LEPR",192
"LGALS9","OK","negbinomial.size",5.74394506827542e-08,1.18134090624591e-06,"LGALS9",124
"SEC31A","OK","negbinomial.size",5.903076382444e-08,1.21225152416717e-06,"SEC31A",924
"IFIT1","OK","negbinomial.size",5.94190697651904e-08,1.21658328214758e-06,"IFIT1",222
"CCDC68","OK","negbinomial.size",5.93317355954236e-08,1.21658328214758e-06,"CCDC68",197
"NR3C1","OK","negbinomial.size",5.96384040523191e-08,1.21925428731701e-06,"NR3C1",492
"CHST7","OK","negbinomial.size",6.07206503445085e-08,1.23953256164579e-06,"CHST7",277
"ITGAL","OK","negbinomial.size",6.36442435502771e-08,1.29728340716597e-06,"ITGAL",49
"ROBO2","OK","negbinomial.size",6.48560859131432e-08,1.32002342219065e-06,"ROBO2",93
"NCL","OK","negbinomial.size",7.05480333268284e-08,1.43374506841101e-06,"NCL",1069
"CAST","OK","negbinomial.size",7.32864115622983e-08,1.48719377782782e-06,"CAST",994
"PCP4","OK","negbinomial.size",7.68119394059055e-08,1.55643454175807e-06,"PCP4",56
"OST4","OK","negbinomial.size",7.72451587490663e-08,1.56290425917359e-06,"OST4",1068
"HGF","OK","negbinomial.size",7.98797650265992e-08,1.61383006868172e-06,"HGF",351
"IGBP1","OK","negbinomial.size",8.15835332853873e-08,1.64582780824845e-06,"IGBP1",671
"CD47","OK","negbinomial.size",8.20276400053616e-08,1.65235707135617e-06,"CD47",554
"NUDT10","OK","negbinomial.size",8.42258082723687e-08,1.69414902915008e-06,"NUDT10",84
"KLF2","OK","negbinomial.size",8.49632397208511e-08,1.70647982795115e-06,"KLF2",525
"LRRC59","OK","negbinomial.size",8.67344420843507e-08,1.73950742180281e-06,"LRRC59",423
"ATP10A","OK","negbinomial.size",8.87297173878116e-08,1.7769259315708e-06,"ATP10A",78
"ASPN","OK","negbinomial.size",8.99639743715727e-08,1.79901720179189e-06,"ASPN",621
"MZT2B","OK","negbinomial.size",9.08532301300583e-08,1.81415518329569e-06,"MZT2B",1021
"WNT5A","OK","negbinomial.size",9.63706271352099e-08,1.91874058496489e-06,"WNT5A",559
"HMGCS1","OK","negbinomial.size",9.63020407761692e-08,1.91874058496489e-06,"HMGCS1",270
"TUBB6","OK","negbinomial.size",9.79109174453339e-08,1.94658255871752e-06,"TUBB6",479
"ITGBL1","OK","negbinomial.size",9.94254806236141e-08,1.97098084276696e-06,"ITGBL1",200
"MT-CYB","OK","negbinomial.size",9.9319006080233e-08,1.97098084276696e-06,"MT-CYB",1176
"DPP4","OK","negbinomial.size",1.03023882160731e-07,2.03936741050637e-06,"DPP4",136
"EPB41","OK","negbinomial.size",1.03695276702337e-07,2.04970000836117e-06,"EPB41",124
"VMP1","OK","negbinomial.size",1.09215669899959e-07,2.15571303552178e-06,"VMP1",853
"DNAJB11","OK","negbinomial.size",1.10425147156421e-07,2.17645426536176e-06,"DNAJB11",370
"EVL","OK","negbinomial.size",1.11295412865249e-07,2.19045979007961e-06,"EVL",387
"SOD2","OK","negbinomial.size",1.11812670470138e-07,2.19748741190453e-06,"SOD2",937
"CDC42EP5","OK","negbinomial.size",1.1586330660902e-07,2.27383811167745e-06,"CDC42EP5",688
"SPRR1B","OK","negbinomial.size",1.22500407674366e-07,2.40065798925278e-06,"SPRR1B",111
"CSRNP1","OK","negbinomial.size",1.26134266220471e-07,2.46834502712185e-06,"CSRNP1",228
"TIMM10B","OK","negbinomial.size",1.29360701870494e-07,2.52787764709321e-06,"TIMM10B",326
"CLK1","OK","negbinomial.size",1.29550054536618e-07,2.5279767398767e-06,"CLK1",597
"EHD2","OK","negbinomial.size",1.31053563650212e-07,2.55368293487728e-06,"EHD2",632
"SLAMF6","OK","negbinomial.size",1.31241969127862e-07,2.55372671276029e-06,"SLAMF6",17
"AKR1B10","OK","negbinomial.size",1.3255007508499e-07,2.57552681305366e-06,"AKR1B10",84
"KCNJ8","OK","negbinomial.size",1.33565199229823e-07,2.59158048519762e-06,"KCNJ8",248
"RARS1","OK","negbinomial.size",1.35204405539377e-07,2.61968084066268e-06,"RARS1",306
"KMT2C","OK","negbinomial.size",1.36342680104337e-07,2.63800971180718e-06,"KMT2C",546
"FLT1","OK","negbinomial.size",1.42344080387442e-07,2.75024802078159e-06,"FLT1",269
"PLOD2","OK","negbinomial.size",1.47142934355878e-07,2.83896873909134e-06,"PLOD2",205
"RGS16","OK","negbinomial.size",1.5142720444479e-07,2.91752582945734e-06,"RGS16",356
"ACBD3","OK","negbinomial.size",1.56006341195682e-07,3.00153574827821e-06,"ACBD3",658
"DNAJA4","OK","negbinomial.size",1.60486877468871e-07,3.08341594554339e-06,"DNAJA4",145
"CD2","OK","negbinomial.size",1.67110817681141e-07,3.2061904852446e-06,"CD2",112
"ATP1B2","OK","negbinomial.size",1.69638784316705e-07,3.25014642912927e-06,"ATP1B2",252
"KCTD12","OK","negbinomial.size",1.72477301522883e-07,3.29992137000127e-06,"KCTD12",216
"CLTC","OK","negbinomial.size",1.75487984067865e-07,3.35284702707935e-06,"CLTC",788
"LMCD1","OK","negbinomial.size",1.80284383613933e-07,3.43969565287335e-06,"LMCD1",118
"HEBP2","OK","negbinomial.size",1.80904917477948e-07,3.44674119161458e-06,"HEBP2",820
"TRAM1","OK","negbinomial.size",1.82607258807872e-07,3.47435003651371e-06,"TRAM1",827
"TIGIT","OK","negbinomial.size",1.90259636358866e-07,3.61493309081846e-06,"TIGIT",36
"EMB","OK","negbinomial.size",1.9198713240039e-07,3.64271021060657e-06,"EMB",177
"RPL10A","OK","negbinomial.size",2.00039019039543e-07,3.79024207622162e-06,"RPL10A",1176
"ANKRD65","OK","negbinomial.size",2.14888866230498e-07,4.0659937475172e-06,"ANKRD65",195
"ZYX","OK","negbinomial.size",2.17884128231352e-07,4.11698962958358e-06,"ZYX",664
"PFDN2","OK","negbinomial.size",2.19667958534026e-07,4.13929265820023e-06,"PFDN2",670
"HSPD1","OK","negbinomial.size",2.19543190182495e-07,4.13929265820023e-06,"HSPD1",940
"NOTCH3","OK","negbinomial.size",2.20547882672666e-07,4.15017263992267e-06,"NOTCH3",408
"RPL37A","OK","negbinomial.size",2.22276908040378e-07,4.17697893766837e-06,"RPL37A",1176
"KRT7","OK","negbinomial.size",2.25369481091306e-07,4.22930033052056e-06,"KRT7",76
"TAP1","OK","negbinomial.size",2.29656430541894e-07,4.30386190460889e-06,"TAP1",366
"C11orf58","OK","negbinomial.size",2.38597984546378e-07,4.46533035744503e-06,"C11orf58",980
"CRYAB","OK","negbinomial.size",2.42902291464257e-07,4.53969159987286e-06,"CRYAB",507
"MUC16","OK","negbinomial.size",2.45934992483832e-07,4.59011731550096e-06,"MUC16",59
"NUCKS1","OK","negbinomial.size",2.47266628872543e-07,4.60870056368688e-06,"NUCKS1",1066
"CAPZA1","OK","negbinomial.size",2.50636379800493e-07,4.66516941397986e-06,"CAPZA1",570
"TNFSF4","OK","negbinomial.size",2.53008519252407e-07,4.70294155434217e-06,"TNFSF4",29
"ACKR4","OK","negbinomial.size",2.5508754259391e-07,4.73517037794757e-06,"ACKR4",39
"CYCS","OK","negbinomial.size",2.57799909750561e-07,4.77905292156513e-06,"CYCS",662
"RPS29","OK","negbinomial.size",2.59210463320026e-07,4.79871678248869e-06,"RPS29",1174
"SACS","OK","negbinomial.size",2.65299716556868e-07,4.90482683521174e-06,"SACS",245
"S100B","OK","negbinomial.size",2.67390227718374e-07,4.93682253545176e-06,"S100B",18
"COPA","OK","negbinomial.size",2.86911915966748e-07,5.29013126778475e-06,"COPA",671
"RNF7","OK","negbinomial.size",2.8821166275977e-07,5.30696320770272e-06,"RNF7",898
"YWHAE","OK","negbinomial.size",2.90211912036185e-07,5.33663137977532e-06,"YWHAE",939
"GXYLT2","OK","negbinomial.size",2.95981106734536e-07,5.43543349690008e-06,"GXYLT2",143
"CD302","OK","negbinomial.size",2.9834175167369e-07,5.47146009286053e-06,"CD302",594
"CTSK","OK","negbinomial.size",2.99635239975225e-07,5.48784542320446e-06,"CTSK",981
"TACSTD2","OK","negbinomial.size",3.03301087563397e-07,5.54757909225957e-06,"TACSTD2",232
"CLIP1","OK","negbinomial.size",3.08056377964013e-07,5.62705378549978e-06,"CLIP1",532
