"","SamplingTime","TrainRiskP","TrainRiskAUC","TestRiskP","TestRiskAUC","TCGARiskP","TCGARiskAUC","GEO1RiskP","GEO1RiskAUC","GEO2RiskP","GEO2RiskAUC","GeneNums"
"132",146,7.68517940266586e-08,0.942380685064247,0.611795982916772,0.60931579680827,0.000203141931419924,0.763127118156174,NA,NA,NA,NA,16
"133",147,1.65510847232245e-13,0.986945975797579,0.314691587088119,0.725759466560891,3.30673001256163e-08,0.853932521957245,NA,NA,NA,NA,14
"134",148,1.70318091240077e-07,0.911467606902804,0.0190913291349253,0.726553765985783,2.84033033069082e-07,0.813881109514056,NA,NA,NA,NA,13
"135",150,1.65193927282316e-08,0.911725991451472,0.233531607712521,0.697852330848884,1.83568650691421e-06,0.801798262709052,NA,NA,NA,NA,11
"136",151,6.91196305836419e-08,0.950060627854174,0.246546227679614,0.709289408784954,6.2789334222088e-05,0.83340306088654,NA,NA,NA,NA,8
"137",152,0.000191133647469437,0.825619552930379,0.0525740086905116,0.743963814757214,3.39660500768533e-05,0.787078327710151,NA,NA,NA,NA,3
"138",153,5.25759604619586e-11,0.951364908156075,0.0494624582905411,0.663897602369671,2.4928295676309e-09,0.824460255791379,NA,NA,NA,NA,11
"139",154,9.16926210055724e-06,0.940278132269063,0.130845881600893,0.671834154901674,2.87942398916063e-05,0.815663223728855,NA,NA,NA,NA,10
"140",155,2.53847518799312e-08,0.947869132678182,0.346786640827253,0.784455467854828,1.16869340904007e-06,0.848893690936118,NA,NA,NA,NA,10
"141",156,7.83347210824481e-09,0.971983448265731,0.0764667244441698,0.732514930593103,9.77254304289213e-07,0.840792498959309,NA,NA,NA,NA,10
"142",157,1.1198844825359e-05,0.825036325405836,0.0295779801173556,0.680206734482492,2.60326365964695e-05,0.761795081423006,NA,NA,NA,NA,3
"143",159,3.75933928982567e-12,0.92700514227889,0.483180377107279,0.70107986235096,2.43836639226721e-07,0.79618173759381,NA,NA,NA,NA,12
"144",160,2.32408273331734e-09,0.933407019617669,0.141154802421416,0.621370544330007,5.09585834453235e-08,0.781251645766441,NA,NA,NA,NA,10
"145",162,1.04717864022402e-09,0.871150473480358,0.805655805645884,0.5768396947639,0.000124586611255244,0.729331874100547,NA,NA,NA,NA,7
"146",163,1.16165595118678e-05,0.866660193493958,0.227924253783419,0.673560169766118,5.14267252438445e-05,0.769754199062631,NA,NA,NA,NA,4
"147",164,1.08471003869278e-10,0.967357498642459,0.923944203505747,0.641887834368832,8.80426908429434e-06,0.798295235816401,NA,NA,NA,NA,15
"148",166,4.40659318023272e-08,0.911101431438843,0.0841946319042007,0.671323146367629,8.07772872549024e-07,0.810615610572848,NA,NA,NA,NA,8
"149",167,2.55840920948144e-09,0.96272949998044,0.350738622434695,0.644428503620699,8.19362805240134e-06,0.788502062800516,NA,NA,NA,NA,13
"150",168,1.11750261732427e-09,0.941823777150502,0.292618700148672,0.665041411244228,7.54627348402252e-07,0.809196478224017,NA,NA,NA,NA,12
"151",169,5.3094690408174e-11,0.972524383757265,0.0120210808142372,0.7108278360683,8.55962285217784e-10,0.825716536825763,NA,NA,NA,NA,12
"152",170,1.14279278934066e-05,0.828096913467816,0.0661190440869479,0.605873241226518,1.03305198548862e-05,0.699665049271296,NA,NA,NA,NA,2
"153",171,1.2790406574603e-10,0.940345650381938,0.499520058792653,0.647454448763873,5.1290337156184e-07,0.792959308456219,NA,NA,NA,NA,10
"154",172,2.83743111180821e-08,0.950670204757578,0.686416424538072,0.668390810330791,5.47245702810463e-05,0.78784740335724,NA,NA,NA,NA,7
"155",173,1.04127322843064e-08,0.939231074948414,0.744143695150864,0.736335851468037,2.01959329940909e-05,0.848594170821679,NA,NA,NA,NA,12
"156",174,0.00282572840762466,0.797882557463957,0.472187208856019,0.625281927439183,0.0139077146075809,0.69372356315191,NA,NA,NA,NA,3
"157",175,2.92663033495635e-12,0.984653841071671,0.0446509038487486,0.616123555292021,3.67720816116294e-09,0.793344569672938,NA,NA,NA,NA,16
