,p_val,avg_logFC,pct.1,pct.2,p_val_adj
SCGB1D2,0.375748676984093,0.40606670024685,0.048,0.038,1
DCAF8,0.375855425611875,0.00995580402232457,0.164,0.146,1
FCHSD1,0.375910130013021,0.006340850520056,0.06,0.048,1
AGAP9,0.376037259161885,0.00809824731048666,0.032,0.023,1
ABHD15,0.376037259161885,0.00809824731048666,0.032,0.023,1
ZNF793,0.37626378111406,-0.0397690404466672,0.088,0.101,1
SLC66A1,0.376385014700813,0.00473866774503764,0.075,0.061,1
SEMA6D,0.376549298725146,-0.0275085349540956,0.055,0.066,1
PRKD3,0.376620630415682,0.00165700120762957,0.303,0.272,1
ZYX,0.376745299029713,-0.0328671767256357,0.587,0.641,1
WDR76,0.377150913814567,0.00486727683787764,0.032,0.023,1
FMO4,0.377316696881111,-0.0127778925759729,0.023,0.031,1
SUSD6,0.377354803382031,0.00433796796088728,0.191,0.169,1
ZNF324B,0.377632807119055,0.00806727956854849,0.032,0.023,1
CABCOCO1,0.377706240517977,-0.0108823480451056,0.048,0.06,1
ZNF121,0.377849006024136,0.00914767293678714,0.103,0.088,1
COG4,0.377961044623018,0.0056811515073549,0.207,0.185,1
TBCE.1,0.378142232371381,0.0143354594674004,0.046,0.036,1
TPK1,0.378243216030048,0.00326601201333006,0.032,0.023,1
CBLN3,0.378243216030048,0.00165700120762943,0.032,0.023,1
NDUFB10,0.378352822062117,0.0204394154458625,0.886,0.902,1
MDFIC,0.378480587969432,-0.0297216377509009,0.501,0.518,1
ARL10,0.378560942339301,0.0107068367275475,0.1,0.084,1
CD83,0.378639678307545,0.0499618462702292,0.124,0.109,1
PYGO1,0.378765756576306,-0.00244416653658508,0.184,0.161,1
SIPA1L3,0.378982785250581,0.00321828177458187,0.06,0.048,1
SFT2D2,0.379033686589945,-0.0120418431505325,0.328,0.291,1
DISC1,0.379044553758735,0.00648404195594557,0.032,0.023,1
PDZRN3,0.379461207819579,0.00299479404928943,0.194,0.172,1
PCM1,0.379481600660049,-0.0313450232076695,0.738,0.796,1
ATG2A,0.379622263104851,0.0147671671318374,0.126,0.109,1
CHUK,0.380034835000502,0.0123686568025572,0.083,0.07,1
DENND1A,0.380114694454684,0.00767205693739077,0.1,0.084,1
NEIL1,0.380317130404468,0.00603976936272456,0.116,0.099,1
FIG4,0.380411756567249,0.00948789478817729,0.061,0.05,1
DPYD,0.380423117703724,0.00165700120762946,0.272,0.242,1
SST,0.380471533455877,0.574278344242086,0.022,0.015,1
POLE4,0.380782997497667,-0.0333728501215854,0.546,0.573,1
PCYT1A,0.380821605409738,0.0043633628053725,0.191,0.169,1
CARD19,0.380823484497863,0.0175400473806325,0.302,0.276,1
ARHGAP12,0.38137584247452,0.00165700120762952,0.327,0.291,1
APOC1,0.381536496719765,-0.0225325932634837,0.177,0.154,1
RNF38,0.38170459034223,-0.0132990899460205,0.186,0.162,1
HPS1,0.381822414852516,0.00546169825129345,0.267,0.242,1
ZNF180,0.381840584453793,0.00635552198918375,0.06,0.048,1
FGFRL1,0.381859262329602,0.000124433857851436,0.075,0.061,1
CDKL1,0.381892744361797,-0.0170642944005794,0.053,0.065,1
CA4,0.382173689887221,0.0499755784784371,0.066,0.055,1
SLC26A6,0.383293509125559,0.00640009310364231,0.045,0.035,1
CTSD,0.383457865247853,0.037114313044359,0.816,0.851,1
ATG14,0.383473558994868,-0.00479879913524187,0.235,0.209,1
MAPK8IP1,0.383516581131092,0.0110174439671933,0.063,0.051,1
METTL26,0.383875880861653,0.0054058340891493,0.534,0.505,1
ELL2,0.384119457556802,0.0112003592545293,0.182,0.161,1
