,p_val,avg_logFC,pct.1,pct.2,p_val_adj
SMOC2,0.325326401720095,-0.00716779458924122,0.198,0.17,1
HOXA5,0.325336368481095,0.00987867736938479,0.038,0.028,1
PCK2,0.325598417283795,0.00828505153410674,0.038,0.028,1
FBXW5,0.325621794703545,0.0325863002162804,0.413,0.389,1
TAS2R4,0.325642452553328,-0.00148701319968558,0.01,0.017,1
FBLN2,0.325659996945562,-0.0148783570531568,0.727,0.766,1
DNASE1,0.325725883644416,0.0158436665080334,0.09,0.074,1
TTC14,0.325749275400079,0.0157042694561356,0.379,0.347,1
ZNF775,0.32605475155418,-0.0085220667822745,0.073,0.089,1
PRMT2,0.326143469228399,-0.0368236844875107,0.631,0.667,1
PLCL2,0.326177735774471,0.019265554017551,0.055,0.043,1
PTER,0.326234048017829,0.0175443769469035,0.072,0.058,1
STOML2,0.326329784009279,-0.0508933609727095,0.564,0.581,1
SYS1,0.326385468995414,0.0184374229981247,0.265,0.238,1
POLR1C,0.326691290985724,0.023345577159828,0.1,0.084,1
TMEM50A,0.326873790674445,-0.0381389625646877,0.875,0.883,1
SNCA,0.326915265974811,0.0143091661374877,0.087,0.071,1
KLHL11,0.326927792298288,0.0218907035898853,0.098,0.083,1
CCL19,0.326952407357871,-0.00465620404740941,0.165,0.144,1
RRM1,0.327064316530276,0.0276762408487574,0.178,0.158,1
ZNF862,0.327134061523474,0.0130206562799411,0.053,0.041,1
NDUFA9,0.327213525371809,0.0183101981534856,0.285,0.259,1
NUDT9,0.327400282096454,0.0156290257898655,0.291,0.262,1
CASP7,0.327898926008651,0.0241165167507876,0.216,0.193,1
TCEA1,0.327935300260761,0.0257396023984949,0.825,0.847,1
ATG16L1,0.328252475426498,0.0113667180715148,0.07,0.056,1
MTHFD1L,0.328341219963479,0.0113199552292609,0.087,0.071,1
CDK6,0.328511632148841,0.0210240773115367,0.313,0.284,1
MRPL13,0.328550736484001,-0.0418088937848086,0.359,0.378,1
UBAC1,0.328553368669912,0.0176309139523447,0.341,0.31,1
GCC1,0.328595544781048,0.017558688319436,0.072,0.058,1
SAMD3,0.328671608444216,0.0161036996519047,0.038,0.028,1
TMOD1,0.328735926788277,0.0173348870540246,0.093,0.078,1
ACYP1,0.328889126382725,0.0209881157903604,0.158,0.139,1
ABCB8,0.328975087825942,0.0247648252418264,0.103,0.087,1
PPME1,0.329103293318602,0.0204885928148358,0.196,0.175,1
SMIM8,0.329159866048822,0.00828505153410686,0.168,0.147,1
RHOV,0.329433800575134,-0.0322189274007045,0.038,0.05,1
ARID3A,0.329535653280489,0.0184669576792263,0.128,0.111,1
PSMA5,0.329603598101922,-0.038353328307588,0.561,0.599,1
PISD,0.329744258495752,0.0203515629472233,0.097,0.081,1
C1orf115,0.329911899774737,0.0147785808446552,0.018,0.012,1
DUSP19,0.329955235219737,-0.00136132551769865,0.027,0.018,1
DDX54,0.330074041785823,-0.0178602285702155,0.218,0.243,1
DKK3,0.330087094801258,-0.0397137855385591,0.696,0.741,1
GGA2,0.330103241691169,0.008285051534107,0.18,0.158,1
ZNF687,0.330106450271071,-0.0165995917817708,0.048,0.061,1
SF3B2,0.330326381955395,-0.0298504106583914,0.676,0.723,1
LRRK1,0.330408541348019,0.0199206062068544,0.23,0.206,1
TRMO,0.33047131370743,0.00983423852093612,0.068,0.054,1
KCTD18,0.330508611340023,0.00533954130434992,0.121,0.102,1
ZNF765,0.330562826227789,-0.0162560573820109,0.063,0.078,1
CMTR1,0.330678963885698,0.0199810912972982,0.126,0.109,1
LRRFIP2,0.330790356197452,0.0231001373192475,0.464,0.427,1
CBLN1,0.330876151899188,0.0155790298966605,0.083,0.068,1
GPC2,0.330883213746194,0.00991504374503784,0.018,0.012,1
SFT2D3,0.33090085589282,0.0112835545303633,0.106,0.089,1
ARL10,0.331003795515226,0.0203515629472233,0.1,0.084,1
SETD1A,0.331033715551872,0.0158551103946522,0.093,0.078,1
PLEKHF1,0.33105902782551,0.00271400648465159,0.166,0.144,1
ACLY,0.331157493398028,0.0375554338342201,0.165,0.147,1
SYMPK,0.331269473274537,0.00560767376339041,0.21,0.185,1
UHRF1BP1,0.331636210963864,0.0145842849620939,0.055,0.043,1
GRIK1,0.331670327288853,0.00991239119348232,0.018,0.012,1
HECTD4,0.331674430939061,-0.00671182121740896,0.19,0.163,1
AK6,0.331686055056427,0.0180293430087851,0.286,0.261,1
