"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"FZD1",3.38752526180892e-08,0.14860494474858,0.23,0.113,0.000593562176374158
"XPO1",3.5031880464815e-08,0.155016555714762,0.345,0.208,0.000613828609504489
"LRRC59",3.53911368847978e-08,0.12497606030158,0.25,0.127,0.000620123500495426
"CYCS",3.75227882543641e-08,0.191883545580978,0.34,0.21,0.000657474295792969
"NCL",3.79277260718708e-08,0.193222117102085,0.818,0.779,0.000664569616231319
"ROBO2",4.19349279629581e-08,0.0773024468070668,0.095,0.024,0.000734783807766952
"ZBED6CL",4.31618535827738e-08,0.0606530235176292,0.047,0.003,0.000756281998477363
"COL27A1",4.43816209884097e-08,0.208335255477497,0.403,0.27,0.000777654762958914
"PSME1",4.68080782067515e-08,0.215952031312767,0.631,0.539,0.0008201711463387
"RPS29",4.76383817609616e-08,0.147277841704091,0.991,0.984,0.00083471972521557
"KMT2C",4.76510850367173e-08,0.166835008724595,0.354,0.218,0.000834942312013361
"SLC16A7",4.78996840522404e-08,0.119808904078464,0.158,0.063,0.000839298263963357
"RSPO3",4.89123080649275e-08,0.151434180919653,0.131,0.046,0.000857041461913659
"G3BP1",5.19534967455073e-08,0.151441591840386,0.399,0.256,0.000910329169974779
"TRIM59",5.24155180810907e-08,0.0491949373546091,0.043,0.001,0.000918424707816872
"RNF19A",5.94631605119092e-08,0.171351864633385,0.338,0.208,0.00104191349848967
"TENT4A",5.98913672259382e-08,0.079478172789325,0.117,0.037,0.00104941653653289
"CD69",6.33670671254975e-08,0.146231052689195,0.11,0.033,0.00111031775017297
"CXCL10",7.687582524637e-08,0.378991229411629,0.05,0.004,0.0013470182099669
"APOL4",8.5769095533205e-08,0.0546227212901156,0.056,0.007,0.00150284609193282
"PLAAT4",8.67583989467469e-08,0.227884872132956,0.331,0.21,0.0015201806663449
"PRSS23",9.59174365588605e-08,0.373304115268259,0.707,0.663,0.00168066532338435
"TMEM119",9.59648390845993e-08,0.146153385802433,0.311,0.181,0.00168149591044035
"HHIP",9.70308241581194e-08,0.109877157516278,0.095,0.025,0.00170017410089857
"PER2",1.01596950644008e-07,0.0819011394737921,0.128,0.045,0.00178018176918431
"CRABP1",1.0350330057502e-07,0.145907056993598,0.128,0.045,0.00181358483267549
"NR4A1",1.05791714234565e-07,0.304866897205882,0.405,0.277,0.00185368241681804
"C6orf62",1.0764198653717e-07,0.157333183241765,0.295,0.173,0.00188610288810428
"HNRNPM",1.07661426472833e-07,0.160902867144237,0.505,0.366,0.00188644351465699
