,p_val,avg_logFC,pct.1,pct.2,p_val_adj
DCTN1,0.782868494210492,-0.00935223963491832,0.16,0.165,1
WAS,0.782925841930851,0.00207153782130719,0.025,0.022,1
PCDH9,0.782957609328295,-8.5101313164665e-05,0.036,0.039,1
BCAP31,0.783584957871175,0.00789944571642937,0.234,0.245,1
ZFR,0.783731739115055,0.0145583286518902,0.266,0.26,1
SZRD1,0.783965612092294,0.00440860749336919,0.205,0.215,1
MAPKAPK3,0.784067107120536,0.00570316590616636,0.032,0.029,1
ITGAX,0.784107971624161,0.00262175976748857,0.011,0.013,1
GPR20,0.784107971624161,0.00262175976748857,0.011,0.013,1
ZGRF1,0.784107971624161,0.000402003029175799,0.011,0.013,1
KCTD21,0.784107971624161,0.000402003029175799,0.011,0.013,1
RREB1,0.784403181519801,-0.0048890719725278,0.065,0.069,1
HHAT,0.784436202440567,-0.000123852742128342,0.025,0.022,1
MYO18A,0.784589185094407,0.0100577404910259,0.052,0.048,1
SIPA1L3,0.784675760286132,0.00389363261600921,0.025,0.028,1
MOSPD1,0.785595038982769,-0.00333581096619591,0.065,0.069,1
ARHGEF5,0.785616732791804,-0.00819472045484196,0.034,0.037,1
DNAAF5,0.785653076599242,-0.00329370658943979,0.045,0.048,1
DCBLD2,0.785668774172088,0.0220241013948501,0.25,0.249,1
ARHGEF7,0.785778152540517,0.00829064337100585,0.144,0.139,1
LDLRAP1,0.78584943126424,0.00479996113036888,0.032,0.029,1
FHIT,0.78584943126424,0.00479996113036888,0.032,0.029,1
ZNF251,0.785968582276042,0.00742450963058431,0.052,0.048,1
SLC26A11,0.785968582276042,0.00742450963058431,0.052,0.048,1
GPKOW,0.786046548553134,0.00942061186679759,0.045,0.042,1
TTC37,0.786060757387269,0.0211451181738308,0.277,0.274,1
WARS2,0.786332990355444,-0.00299830431269413,0.065,0.069,1
XPC,0.786514851255152,0.0158240489020045,0.227,0.224,1
NPC1,0.786588728070241,0.00720518907421637,0.059,0.055,1
DNAJC16,0.787083443165689,0.00596679882306976,0.059,0.055,1
PDXK,0.787092652351974,0.00846394909139483,0.167,0.161,1
RAN,0.787400187145604,0.00718071219110139,0.55,0.587,1
STX12,0.787412861325365,0.0179776623312534,0.182,0.18,1
SAMHD1,0.787473547324199,0.0241072804831483,0.194,0.191,1
CAVIN1,0.787532749149965,0.0425750784089355,0.667,0.702,1
PDK4,0.787539982410865,0.00262175976748857,0.011,0.013,1
IL15,0.787645130828753,0.00880321511938867,0.115,0.11,1
ALAD,0.787760632659646,0.00648021877146056,0.065,0.062,1
PPP2R1A,0.787774129169626,-0.0104162950661904,0.227,0.233,1
ELMOD2,0.787847777598796,0.00749003597093641,0.108,0.104,1
ZNRF2,0.787850495599044,-0.000742684797834521,0.056,0.06,1
RAB11FIP3,0.787850495599044,-0.000742684797834521,0.056,0.06,1
ATP8A1,0.787884676505985,0.00925161830615825,0.014,0.012,1
ATL2,0.788709108087597,-0.00239007262877061,0.045,0.048,1
INHBA,0.788794595665707,0.197231533651773,0.189,0.206,1
THOP1,0.788981958396613,0.00352688648357075,0.032,0.029,1
SDHAF2,0.789070185626241,0.00466394976797946,0.092,0.088,1
ABHD8,0.789209520043538,-0.00466029375121646,0.054,0.058,1
ADAMTS4,0.789240707353498,-0.0140243089345268,0.072,0.076,1
CCDC173,0.789257100970554,0.00613109865968731,0.014,0.012,1
UBE2D1,0.789411070765557,0.00259480885856761,0.167,0.174,1
TMEM128,0.78953757408785,0.00700202803829934,0.108,0.104,1
MSC,0.790121625913968,0.0116399423794305,0.216,0.228,1
NXF1,0.790127125399792,-0.0013752007668091,0.074,0.079,1
ISCA1,0.790511858358375,-0.00529886337700231,0.239,0.245,1
ETFRF1,0.790531429544156,0.00867050544634596,0.169,0.164,1
ZNF398,0.790569747605315,0.00560654288082426,0.065,0.062,1
STXBP5,0.790720521206656,0.00715618405119178,0.169,0.164,1
ZNF684,0.790767198219666,0.0026189351840086,0.032,0.029,1
NEMP2,0.790767198219666,0.0026189351840086,0.032,0.029,1
ZC3HC1,0.790767198219666,0.0026189351840086,0.032,0.029,1
TMSB15B.1,0.790767198219666,0.0026189351840086,0.032,0.029,1
PNMA8B,0.790767198219666,0.0026189351840086,0.032,0.029,1
SPOPL,0.79110216939654,0.0125152463000855,0.074,0.071,1
THSD4,0.791278026204048,-0.0479490017002947,0.081,0.084,1
GALNT6,0.79131970294182,0.0048366000970415,0.014,0.012,1
VOPP1,0.791792856262554,0.0052406312078184,0.128,0.123,1
NQO1,0.792095080437574,0.00549479944363947,0.036,0.039,1
SLC35A2,0.792161334085345,0.00208762313782646,0.068,0.072,1
C1orf167,0.792349643928488,0.00391625833013438,0.014,0.012,1
FRK,0.792349643928488,0.00391625833013438,0.014,0.012,1
NMRAL1,0.792400963406014,-0.00435653626885281,0.101,0.106,1
AKAP8L,0.79256077886455,0.00114330687832498,0.155,0.149,1
RARG,0.792721891104475,0.00648260839761566,0.142,0.149,1
SNRK,0.792799934422652,0.00629053743553518,0.14,0.147,1
CHCHD3,0.792827073539455,0.00642835204065617,0.167,0.16,1
NCAPD2,0.793599818880632,0.00370039216631725,0.038,0.035,1
THAP1,0.793676112194847,0.0123702575364606,0.081,0.087,1
TMEM80,0.793806926058148,-0.000314065252344758,0.086,0.09,1
TCIM,0.793894286244624,0.0448717723536682,0.552,0.567,1
